,title,genres
66198,"International, The (2009)",Drama|Thriller
92259,Intouchables (2011),Comedy|Drama
48043,"Fountain, The (2006)",Drama|Fantasy|Romance
85213,"Sunset Limited, The (2011)",Drama
94959,Moonrise Kingdom (2012),Comedy|Drama|Romance
93457,"Hidden Face, The (La cara oculta) (2011)",Thriller
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
93838,The Raid: Redemption (2011),Action|Crime
111384,Blue Ruin (2013),Thriller
57669,In Bruges (2008),Comedy|Crime|Drama|Thriller
53956,Death at a Funeral (2007),Comedy
5668,White Oleander (2002),Drama
168248,John Wick: Chapter Two (2017),Action|Crime|Thriller
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
5577,Igby Goes Down (2002),Comedy|Drama
45928,Who Killed the Electric Car? (2006),Documentary
4978,Lantana (2001),Drama|Mystery|Thriller
40946,Sarah Silverman: Jesus Is Magic (2005),Comedy|Musical
4903,In the Bedroom (2001),Drama
84844,Brother 2 (Brat 2) (2000),Crime|Drama
51080,Breach (2007),Drama|Thriller
114494,Who Am I (Kein System Ist Sicher) (2014),Thriller
106100,Dallas Buyers Club (2013),Drama
101962,Wolf Children (Okami kodomo no ame to yuki) (2012),Animation|Fantasy
87079,Trust (2010),Drama|Thriller
57401,Cleaner (2007),Crime|Thriller
6706,Taking Sides (2001),Drama
69995,Tokyo Sonata (2008),Drama
100745,TPB AFK: The Pirate Bay Away from Keyboard (2013),Documentary
48516,"Departed, The (2006)",Crime|Drama|Thriller
40870,C.R.A.Z.Y. (2005),Drama
104272,Blackfish (2013),Documentary
39292,"Good Night, and Good Luck. (2005)",Crime|Drama
27728,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),Action|Animation|Drama|Sci-Fi|Thriller
47629,The Queen (2006),Drama
41571,Memoirs of a Geisha (2005),Drama|Romance
27808,Spanglish (2004),Comedy|Drama|Romance
97923,Flight (2012),Drama
152077,10 Cloverfield Lane (2016),Thriller
73808,"Chaser, The (Chugyeogja) (2008)",Crime|Drama|Thriller
77800,Four Lions (2010),Comedy|Drama
122906,Black Panther (2017),Action|Adventure|Sci-Fi
100556,"Act of Killing, The (2012)",Documentary
8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama
109374,"Grand Budapest Hotel, The (2014)",Comedy|Drama
55118,Eastern Promises (2007),Crime|Drama|Thriller
6215,Laurel Canyon (2002),Drama
113188,"Rover, The (2014)",Crime|Drama
148881,World of Tomorrow (2015),Animation|Comedy
56805,Walk Hard: The Dewey Cox Story (2007),Comedy|Musical
164179,Arrival (2016),Sci-Fi
43708,Block Party (a.k.a. Dave Chappelle's Block Party) (2005),Comedy|Documentary
59018,"Visitor, The (2007)",Drama|Romance
101525,"Place Beyond the Pines, The (2012)",Crime|Drama
27773,Old Boy (2003),Mystery|Thriller
81845,"King's Speech, The (2010)",Drama
98491,Paperman (2012),Animation|Comedy|Romance
105844,12 Years a Slave (2013),Drama
3967,Billy Elliot (2000),Drama
162082,Train to Busan (2016),Action|Thriller
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
68073,Pirate Radio (2009),Comedy|Drama
4848,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
4873,Waking Life (2001),Animation|Drama|Fantasy
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
6187,"Life of David Gale, The (2003)",Crime|Drama|Thriller
6711,Lost in Translation (2003),Comedy|Drama|Romance
31364,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller
59995,Boy A (2007),Crime|Drama
50011,"Bothersome Man, The (Brysomme mannen, Den) (2006)",Comedy|Drama|Fantasy|Mystery
5329,"Salton Sea, The (2002)",Crime|Drama|Thriller
4979,"Royal Tenenbaums, The (2001)",Comedy|Drama
65514,Ip Man (2008),Action|Drama|War
55276,Michael Clayton (2007),Drama|Thriller
48560,Running With Scissors (2006),Comedy|Drama
5989,Catch Me If You Can (2002),Crime|Drama
72386,Broken Embraces (Los abrazos rotos) (2009),Drama|Romance|Thriller
100714,Before Midnight (2013),Drama|Romance
27311,Batman Beyond: Return of the Joker (2000),Action|Animation|Crime|Sci-Fi|Thriller
66934,Dr. Horrible's Sing-Along Blog (2008),Comedy|Drama|Musical|Sci-Fi
37830,Final Fantasy VII: Advent Children (2004),Action|Adventure|Animation|Fantasy|Sci-Fi
34437,Broken Flowers (2005),Comedy|Drama
90439,Margin Call (2011),Drama|Thriller
55167,Tekkonkinkreet (Tekkon kinkurîto) (2006),Action|Adventure|Animation|Crime|Fantasy
7981,Infernal Affairs (Mou gaan dou) (2002),Crime|Drama|Thriller
134130,The Martian (2015),Adventure|Drama|Sci-Fi
61729,Ghost Town (2008),Comedy|Fantasy|Romance
8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
27592,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),Crime|Drama
34153,Murderball (2005),Documentary
118898,A Most Violent Year (2014),Action|Crime|Drama|Thriller
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
74553,"Secret of Kells, The (2009)",Animation|Fantasy
89759,"Separation, A (Jodaeiye Nader az Simin) (2011)",Drama
3298,Boiler Room (2000),Crime|Drama|Thriller
115569,Nightcrawler (2014),Crime|Drama|Thriller
116799,Inherent Vice (2014),Comedy|Crime|Drama|Mystery|Romance
5613,8 Women (2002),Comedy|Crime|Musical|Mystery
44937,"Child, The (L'enfant) (2005)",Crime|Drama
4144,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
62956,Futurama: Bender's Game (2008),Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi
50068,Letters from Iwo Jima (2006),Drama|War
56251,Futurama: Bender's Big Score (2007),Animation|Comedy|Sci-Fi
7367,"Ladykillers, The (2004)",Comedy|Crime
130576,Midnight Special (2015),Drama|Sci-Fi
31878,Kung Fu Hustle (Gong fu) (2004),Action|Comedy
94969,Kahaani (2012),Crime|Drama|Thriller
7090,Hero (Ying xiong) (2002),Action|Adventure|Drama
164909,La La Land (2016),Comedy|Drama|Romance
117533,Citizenfour (2014),Documentary
64839,"Wrestler, The (2008)",Drama
176371,Blade Runner 2049 (2017),Sci-Fi
53161,"I'm a Cyborg, But That's OK (Saibogujiman kwenchana) (2006)",Comedy|Drama|Romance|Sci-Fi
128360,The Hateful Eight (2015),Western
7347,Secret Window (2004),Mystery|Thriller
69481,"Hurt Locker, The (2008)",Action|Drama|Thriller|War
4995,"Beautiful Mind, A (2001)",Drama|Romance
97024,Rust and Bone (De rouille et d'os) (2012),Drama|Romance
4235,Amores Perros (Love's a Bitch) (2000),Drama|Thriller
127098,Louis C.K.: Live at The Comedy Store (2015),Comedy
81932,"Fighter, The (2010)",Drama
5791,Frida (2002),Drama|Romance
46967,Scoop (2006),Comedy|Fantasy|Mystery
90057,Take Shelter (2011),Drama
44929,Candy (2006),Drama|Romance
85342,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),Action|Crime|Drama
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
52885,Paprika (Papurika) (2006),Animation|Mystery|Sci-Fi
88129,Drive (2011),Crime|Drama|Film-Noir|Thriller
5995,"Pianist, The (2002)",Drama|War
55721,Elite Squad (Tropa de Elite) (2007),Action|Crime|Drama|Thriller
112552,Whiplash (2014),Drama
54999,Shoot 'Em Up (2007),Action|Comedy|Crime
102194,Mud (2012),Adventure|Crime|Drama
3618,Small Time Crooks (2000),Comedy|Crime
44199,Inside Man (2006),Crime|Drama|Thriller
78499,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
27801,Ong-Bak: The Thai Warrior (Ong Bak) (2003),Action|Thriller
31410,"Downfall (Untergang, Der) (2004)",Drama|War
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
62511,"Synecdoche, New York (2008)",Comedy|Drama
68954,Up (2009),Adventure|Animation|Children|Drama
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
60161,Futurama: The Beast with a Billion Backs (2008),Action|Animation|Comedy|Romance|Sci-Fi
109487,Interstellar (2014),Sci-Fi|IMAX
62336,FLCL (2000),Animation|Comedy|Fantasy|Sci-Fi
8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",Action|Comedy|Crime|Drama
27873,Metallica: Some Kind of Monster (2004),Documentary
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
111759,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX
91622,Young Adult (2011),Comedy|Drama
8910,I Heart Huckabees (2004),Comedy
140110,The Intern (2015),Comedy
96606,Samsara (2011),Documentary
3949,Requiem for a Dream (2000),Drama
4641,Ghost World (2001),Comedy|Drama
72226,Fantastic Mr. Fox (2009),Adventure|Animation|Children|Comedy|Crime
8607,Tokyo Godfathers (2003),Adventure|Animation|Drama
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
166643,Hidden Figures (2016),Drama
83132,"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",Animation|Children|Fantasy
85881,Win Win (2011),Comedy|Drama
99764,It's Such a Beautiful Day (2012),Animation|Comedy|Drama|Fantasy|Sci-Fi
65188,Dear Zachary: A Letter to a Son About His Father (2008),Documentary
77201,Valhalla Rising (2009),Action|Drama|War
5878,Talk to Her (Hable con Ella) (2002),Drama|Romance
4881,"Man Who Wasn't There, The (2001)",Crime|Drama
60950,Vicky Cristina Barcelona (2008),Comedy|Drama|Romance
56782,There Will Be Blood (2007),Drama|Western
34338,"Aristocrats, The (2005)",Comedy|Documentary
4164,"Caveman's Valentine, The (2001)",Drama
90600,Headhunters (Hodejegerne) (2011),Action|Crime|Thriller
116136,Olive Kitteridge (2014),Drama
49396,Tenacious D in The Pick of Destiny (2006),Adventure|Comedy|Musical
102800,Frances Ha (2012),Comedy|Drama
117444,Song of the Sea (2014),Animation|Children|Fantasy
63033,Blindness (2008),Drama|Mystery|Romance|Thriller
55363,"Assassination of Jesse James by the Coward Robert Ford, The (2007)",Crime|Drama|Western
27803,"Sea Inside, The (Mar adentro) (2004)",Drama
86320,Melancholia (2011),Drama|Sci-Fi
38061,Kiss Kiss Bang Bang (2005),Comedy|Crime|Mystery|Thriller
72395,Precious (2009),Drama
64285,Wallace and Gromit in 'A Matter of Loaf and Death' (2008),Animation|Comedy
95558,Beasts of the Southern Wild (2012),Drama|Fantasy
27904,"Scanner Darkly, A (2006)",Animation|Drama|Mystery|Sci-Fi|Thriller
47634,36 Quai des Orfèvres (Department 36) (2004),Action|Crime|Drama|Thriller
40629,Pride & Prejudice (2005),Drama|Romance
86882,Midnight in Paris (2011),Comedy|Fantasy|Romance
51255,Hot Fuzz (2007),Action|Comedy|Crime|Mystery
110882,Locke (2013),Drama
27846,"Corporation, The (2003)",Documentary
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
51540,Zodiac (2007),Crime|Drama|Thriller
168266,T2: Trainspotting (2017),Crime|Drama
60684,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
61323,Burn After Reading (2008),Comedy|Crime|Drama
90374,Martha Marcy May Marlene (2011),Drama|Thriller
55805,Before the Devil Knows You're Dead (2007),Crime|Drama|Thriller
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
78039,Blue Valentine (2010),Drama|Romance
73344,"Prophet, A (Un Prophète) (2009)",Crime|Drama
146656,Creed (2015),Drama
38038,Wallace & Gromit in The Curse of the Were-Rabbit (2005),Adventure|Animation|Children|Comedy
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
44974,Hard Candy (2005),Drama|Thriller
103883,2 Guns (2013),Action|Comedy|Crime
77455,Exit Through the Gift Shop (2010),Comedy|Documentary
116797,The Imitation Game (2014),Drama|Thriller|War
158238,The Nice Guys (2016),Crime|Mystery|Thriller
71464,"Serious Man, A (2009)",Comedy|Drama
112290,Boyhood (2014),Drama
96737,Dredd (2012),Action|Sci-Fi
67255,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",Crime|Drama|Mystery|Thriller
57464,He Was a Quiet Man (2007),Drama
70286,District 9 (2009),Mystery|Sci-Fi|Thriller
56788,Charlie Wilson's War (2007),Comedy|Drama|War
81562,127 Hours (2010),Adventure|Drama|Thriller
7147,Big Fish (2003),Drama|Fantasy|Romance
30812,"Aviator, The (2004)",Drama
91658,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller
4019,Finding Forrester (2000),Drama
7323,"Good bye, Lenin! (2003)",Comedy|Drama
122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
55280,Lars and the Real Girl (2007),Comedy|Drama
8917,Team America: World Police (2004),Action|Adventure|Animation|Comedy
143385,Bridge of Spies (2015),Drama|Thriller
42422,Voices of a Distant Star (Hoshi no koe) (2003),Animation|Drama|Romance|Sci-Fi
85736,BURN-E (2008),Adventure|Animation|Children|Sci-Fi
142448,Everest (2015),Adventure|Drama|Thriller
161634,Don't Breathe (2016),Thriller
147410,A Perfect Day (2015),Comedy|Drama
4308,Moulin Rouge (2001),Drama|Musical|Romance
3481,High Fidelity (2000),Comedy|Drama|Romance
33138,Palindromes (2004),Adventure|Comedy|Drama
8645,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Crime|Drama
47950,Hollywoodland (2006),Crime|Drama|Mystery|Thriller
81591,Black Swan (2010),Drama|Thriller
8784,Garden State (2004),Comedy|Drama|Romance
106782,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
73881,3 Idiots (2009),Comedy|Drama|Romance
8798,Collateral (2004),Action|Crime|Drama|Thriller
69134,Antichrist (2009),Drama|Fantasy
106920,Her (2013),Drama|Romance|Sci-Fi
42632,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),Crime|Drama|Mystery|Thriller
115617,Big Hero 6 (2014),Action|Animation|Comedy
40583,Syriana (2005),Drama|Thriller
5064,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller
6870,Mystic River (2003),Crime|Drama|Mystery
7285,Thirteen (2003),Drama
7991,Death Race 2000 (1975),Action|Sci-Fi
4888,Tape (2001),Drama
93790,Detachment (2011),Drama
37741,Capote (2005),Crime|Drama
8983,House of Flying Daggers (Shi mian mai fu) (2004),Action|Drama|Romance
108981,Nymphomaniac: Volume II (2013),Drama|Mystery
7460,Coffee and Cigarettes (2003),Comedy|Drama
162578,Kubo and the Two Strings (2016),Adventure|Animation|Children|Fantasy
5608,"Das Experiment (Experiment, The) (2001)",Drama|Thriller
103984,"Great Beauty, The (Grande Bellezza, La) (2013)",Comedy|Drama
64034,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",Drama|War
3317,Wonder Boys (2000),Comedy|Drama
116161,Foxcatcher (2014),Drama
133771,The Lobster (2015),Comedy|Romance|Sci-Fi
31435,Rory O'Shea Was Here (Inside I'm Dancing) (2004),Drama
141890,Beasts of No Nation (2015),Drama|War
103372,"Heat, The (2013)",Action|Comedy|Crime
8366,Saved! (2004),Comedy|Drama
40412,Dead Man's Shoes (2004),Crime|Thriller
37733,"History of Violence, A (2005)",Action|Crime|Drama|Thriller
4776,Training Day (2001),Crime|Drama|Thriller
3994,Unbreakable (2000),Drama|Sci-Fi
52604,Fracture (2007),Crime|Drama|Mystery|Thriller
103341,"World's End, The (2013)",Action|Comedy|Sci-Fi
51312,"Consequences of Love, The (Conseguenze dell'amore, Le) (2004)",Crime|Drama
49957,"History Boys, The (2006)",Comedy|Drama
3565,Where the Heart Is (2000),Comedy|Drama
27611,Battlestar Galactica (2003),Drama|Sci-Fi|War
104283,"Wind Rises, The (Kaze tachinu) (2013)",Animation|Drama|Romance
152017,Me Before You (2016),Drama|Romance
42728,Tristan & Isolde (2006),Drama|Romance
30810,"Life Aquatic with Steve Zissou, The (2004)",Adventure|Comedy|Fantasy
44195,Thank You for Smoking (2006),Comedy|Drama
99145,"Impossible, The (Imposible, Lo) (2012)",Drama|Thriller
55290,Gone Baby Gone (2007),Crime|Drama|Mystery
46578,Little Miss Sunshine (2006),Adventure|Comedy|Drama
5464,Road to Perdition (2002),Crime|Drama
30749,Hotel Rwanda (2004),Drama|War
112183,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama
8981,Closer (2004),Drama|Romance
48774,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller
56367,Juno (2007),Comedy|Drama|Romance
108727,Nymphomaniac: Volume I (2013),Drama
71899,Mary and Max (2009),Animation|Comedy|Drama
5135,Monsoon Wedding (2001),Comedy|Romance
5945,About Schmidt (2002),Comedy|Drama
143859,"Hail, Caesar! (2016)",Comedy
91077,"Descendants, The (2011)",Comedy|Drama
5991,Chicago (2002),Comedy|Crime|Drama|Musical
115149,John Wick (2014),Action|Thriller
157318,Perfect Strangers (2016),Comedy|Drama
89039,Another Earth (2011),Drama|Romance|Sci-Fi
8950,The Machinist (2004),Drama|Mystery|Thriller
96281,ParaNorman (2012),Adventure|Animation|Comedy
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
50872,Ratatouille (2007),Animation|Children|Drama
105504,Captain Phillips (2013),Adventure|Drama|Thriller|IMAX
48304,Apocalypto (2006),Adventure|Drama|Thriller
3578,Gladiator (2000),Action|Adventure|Drama
95720,"Watch, The (2012)",Comedy|Sci-Fi
6764,"Rundown, The (2003)",Action|Adventure|Comedy
61236,Waltz with Bashir (Vals im Bashir) (2008),Animation|Documentary|Drama|War
6331,Spellbound (2002),Documentary
4967,No Man's Land (2001),Drama|War
97306,Seven Psychopaths (2012),Comedy|Crime
27731,"Cat Returns, The (Neko no ongaeshi) (2002)",Adventure|Animation|Children|Fantasy
47423,Half Nelson (2006),Drama
6902,Interstate 60 (2002),Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller
56885,"Great Debaters, The (2007)",Drama
79702,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance
8966,Kinsey (2004),Drama
5669,Bowling for Columbine (2002),Documentary
7254,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller
6214,Irreversible (Irréversible) (2002),Crime|Drama|Mystery|Thriller
63876,Milk (2008),Drama
33004,"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller
101741,Trance (2013),Crime|Thriller
103027,Much Ado About Nothing (2012),Comedy|Drama|Romance
